TR1155,Arcanus Side Resort 5* - Side,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0223,Belconti Resort 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0023,Calista Luxury Resort 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0040,Galeri Resort 5* - Alanya,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR1594,Grand Park Kemer 5* - Kemer,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0636,Grand Park Lara 5* - Lara,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0322,Gural Premier Belek 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0321,Gural Premier Kemer 5* - Kemer,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR1439,J'adore Deluxe 5* - Side,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0706,Kaya Pallazo Belek 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0056,Letoonia Golf Resort 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR1284,Litore Resort 5* - Alanya,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0821,Maritim Pine Beach Resort 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0089,Rixos Premium Belek 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0091,Rixos Premium Tekirova 5* - Kemer,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0312,Silence Beach Resort 5* - Side,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0268,Spice 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR1393,Asia Beach Resort 5* - Alanya,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR1352,Sirene Belek 5* - Belek,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0903,Lara Family Club 4* - Lara/Kundu,individual,antalya,15.11-21.11,dinamic luata dupa calcul
TR0164,Omer Holiday Resort 4* Kusadasi,individual,bodrum,16.11-19.11,dinamic luata dupa calcul
TR1186,Vogue Bodrum 5* Bodrum,individual,bodrum,16.11-19.11,dinamic luata dupa calcul
TR0993,Grand Blue Sky 4* Kusadasi,individual,bodrum,16.11-19.11,dinamic luata dupa calcul
TR0162,Imbat Hotel 4* Kusadasi,individual,bodrum,16.11-19.11,dinamic luata dupa calcul
TR1542,Club Green Nature Resort 5* Marmaris,individual,bodrum,16.11-19.11,dinamic luata dupa calcul
GR2720,Selini Suites 4*,individual,creta - chania,17.11,dinamic luata dupa calcul
GR2346,Ledra Maleme 3*,individual,creta - chania,16.11-19.11,dinamic luata dupa calcul
GR2486,Sunny Bay 3*,individual,creta - chania,16.11-19.11,dinamic luata dupa calcul
GR2724,Popi Apart hotel 2*,individual,creta - chania,16.11-19.11,dinamic luata dupa calcul
GR2726,Grandmother Katina,individual,creta - chania,16.11-19.11,dinamic luata dupa calcul
GR1684,Varres Hotel 3* - Bohali/Zante,individual,zakynthos,17.11-19.11,dinamic luata dupa calcul
GR2482,Govino Bay 4* Govino Area,individual,corfu,17.11,dinamic luata dupa calcul
GR2001,Molfetta Hotel 3* Gouvia,individual,corfu,17.11,dinamic luata dupa calcul
GR2002,Ionian Park 4* Gouvia,individual,corfu,17.11,dinamic luata dupa calcul
GR1386,Potamaki Hotel 3* Benitses (Contractul de allotment),individual,corfu,17.11,dinamic luata dupa calcul
GR2481,Victoria Hill 3* Dassia,individual,corfu,17.11,dinamic luata dupa calcul
GR0209,Mitsis Faliraki Beach 4*,individual,rodos,16.11-19.11,dinamic luata dupa calcul
GR2658,Labito 2*,individual,samos,16.11-19.11,dinamic luata dupa calcul
GR2465,Kokkari Beach 3*,individual,samos,16.11-19.11,dinamic luata dupa calcul
GR2714,Sunrise 3*,individual,samos,16.11-19.11,dinamic luata dupa calcul
GR1766,Mediterranean Beach 4* ,individual,santorini,17.11,dinamic luata dupa calcul
GR1640,Venus Afroditi 4*,individual,santorini,17.11,dinamic luata dupa calcul
GR1944,Sovereign Beach 4*,individual,kos,16.11-19.11,dinamic luata dupa calcul
GR2567,Hotel Ismaros 4*,individual,THRACE,17.11,dinamic luata dupa calcul
GR2605,Hotel Roxani Country House 3*,individual,THRACE,17.11,dinamic luata dupa calcul
ES0590,Joya,individual,costa blanca,17.11,dinamic luata dupa calcul
ES0500,Flash 4*,individual,costa blanca,17.11,dinamic luata dupa calcul
ES0666,Gran Elba Estepona,individual,costa del sol,17.11,dinamic luata dupa calcul
ES0481,San Fermin,individual,costa del sol,17.11,dinamic luata dupa calcul
PT0123,Vilamoura Garden 4*,individual,algarve,16.11-22.11,dinamic luata dupa calcul
PT0088,Hilton Vilamoura 5*,individual,algarve,16.11-22.11,dinamic luata dupa calcul
PT0107,Epic Sana Algarve 5*,individual,algarve,16.11-22.11,dinamic luata dupa calcul
PT0026,Vidamar Resorts 5*,individual,madeira,16.11-24.11,dinamic luata dupa calcul
PT0160,Pestana Royal Premium All Inclusive Ocean Spa Resort 5*,individual,madeira,16.11-20.11,dinamic luata dupa calcul
